"Function","Inferred responsibility","Evidence","Confidence"
"FUN_00423a22","Computes and formats the IC package count summary for the currently mapped gate diagram.","Called after diagram/metafile generation and before the ICPKGINFO dialog displays this+0x274. It scans active diagram objects from +0x1654 to +0x1658, counts inverters, NAND/NOR/AND/OR gates by 2/3/4-input arity, EXOR, and MUX gates, rounds counts up to package capacities such as hex/quad/triple/dual, appends lines like IC\tQty, Hex Inverter, Quad 2-Input NAND, Quad 2-Input MUX, and TOTAL PACKAGES into the buffer at +0x274.","High"
"FUN_0042424d","Dialog handler for the ICPKGINFO package-information dialog; displays the precomputed package summary and closes the dialog.","FUN_0040aebc delegates ICPKGINFO messages to it. On WM_INITDIALOG it sends EM_SETMARGINS-style message 0xcb to edit control 0x43e and sets that control text from *(this+0x274); on OK/Cancel command IDs 1 or 2 it calls EndDialog and deletes the GDI object at this+0x2334.","High"
"FUN_004242ed","Returns the padding count needed to round a nonzero item count up to the next multiple of a package capacity.","The function returns 0 when param_1 is 0; otherwise it increments by param_2 until the value is at least param_1, then returns multiple - param_1. FUN_004231b6 calls it with capacities 4, 3, and 2 for gate counts before filling package-balanced placeholder gates.","High"
"FUN_00424322","Consumes and clears the diagram-regenerated flag, returning the previous flag value to the caller.","The function copies *(this+0x267c) into *param_1, sets *(this+0x267c) to 0, and returns 0. The diagram window initialization path calls it during command 0x800b; if the returned value is nonzero it posts command 0x155 to refit/regenerate the view, otherwise it restores prior viewport coordinates.","High"
"FUN_00424347","Regenerates the mapped gate diagram drawing: builds placement/routing structures, renders to enhanced metafiles, updates diagram extents/view state, refreshes IC package information, and marks the diagram as regenerated.","Called after successful mapping and after diagram edits. It frees prior temporary mapping objects, calls FUN_00424b74 to allocate/populate the placement grid, creates enhanced metafiles with CreateEnhMetaFileA, selects fonts/pens, invokes drawing/layout helpers FUN_00425b8e/FUN_00426f50/FUN_00427c43, closes the metafile, updates handles at +0x16b0/+0x1688 and extents at +0x16a4/+0x16a8, calls FUN_00423a22, frees +0x2678 placement rows, sets +0x267c to 1, and returns any allocation/layout error code.","High"
"FUN_00424b74","Allocates and initializes the diagram placement/routing grid used while regenerating the mapped gate diagram.","FUN_00424347 calls it before drawing. It allocates an array of row pointers at this+0x2678 sized by this+0x2670, allocates each row as this+0x2674 entries of 0x48 bytes, initializes each cell's object index to -1, seeds input rows for the primary inputs up to +0x1654, then calls FUN_00424ceb for each logic level/column to place gates; allocation failures return 0x40016 or 0x40017.","High"
"FUN_00424ceb","Places all gate-diagram objects for one topological level into the diagram layout matrix, assigning each object a drawing track/lane and preserving input-pin ordering and constant sources for later rendering.","Called by FUN_00424b74 once per level after allocating the layout matrix at this+0x2678. It scans diagram objects from this+0x1654 to this+0x1650 whose level field +0x3c equals param_1, handles constant source object types 10/11 by replacing references with -1/-2, chooses or allocates a lane in the 0x2678 matrix, writes object placed flags at +0xb4, track index at +0x40, and uses FUN_0042564a/FUN_004258e1 to preserve or swap input ordering. Returns 0 only on allocation failure.","High"
"FUN_0042564a","Propagates vertical wire-offset/routing state from a source gate's previous level to a newly placed gate, adjusting offsets according to gate type and input pin so later wire routing avoids overlaps.","Called only from FUN_00424ceb when a gate is assigned to an existing lane. It reads and writes the layout matrix cell at this+0x2678 for the lane/level, copies offset state for pass-through/output types 0 and 9, applies special handling for mux type 5 and multi-input gates, and calls FUN_004258e1 to swap input pins when the inherited routing state requires a different pin order.","Medium"
"FUN_004258e1","Swaps two input-source slots on a gate-diagram object and records the swap indexes as pending layout metadata.","Body swaps entries in the object input-source array at object+0x1c+pin*4, then stores the swapped pin indexes at object offsets +0xf4 and +0xf8. FUN_00424ceb calls it before placement when a pending swap exists, and FUN_0042564a calls it while choosing a better input-pin ordering for routing.","High"
"FUN_00425991","Computes maximum per-level routing extents and resets per-cell temporary routing counters after the first layout/render pass.","Called between the scratch enhanced-metafile pass and the final diagram pass in FUN_00424347. It initializes per-level maxima in the first layout lane, walks every lane and level in this+0x2678, updates maximum width/height counters from cell offsets +0xc/+0x10/+0x18, stores each lane's max at +0x14, then clears the temporary counters and four-entry side arrays at +0x28 and +0x38.","High"
"FUN_00425b8e","Lays out and draws all gate-diagram nodes into an HDC, computing column x positions, row y bands, object rectangles, connector coordinates, and optional labels.","Called by FUN_00424347 in both scratch and final enhanced-metafile passes before wire routing. It measures input-name text with GetTextExtentPoint32A, iterates layout lanes and levels from this+0x2678, computes x/y positions using per-level extents from FUN_00425991, calls FUN_00425f03 for each placed object, and writes row bounds back into the layout matrix at offsets +0x20/+0x24.","High"
"FUN_00425f03","Draws a single gate-diagram object at a specified coordinate and updates the object's connector points and bounding rectangle.","The function switches on object type 0..11 and uses GDI calls such as MoveToEx, LineTo, Arc, PolyBezier, Ellipse, Rectangle, TextOutA, CreateFontIndirectA, and SetRect. It draws inverter, NAND/AND, NOR/OR/XOR, mux, input/output nodes, and constants, writes input/output connector coordinates at object offsets +0x6c..+0xc4 and rectangle at +0xc8, and honors param_5 to draw labels.","High"
"FUN_00426f50","Routes and draws wires between already laid-out gate-diagram objects, creating route-segment records and updating per-pin segment references.","Called by FUN_00424347 immediately after FUN_00425b8e. It iterates levels and lanes in the layout matrix, finds each placed object's non-constant inputs, allocates 0x50-byte route records in this+0x16d0, stores source object/pin fields and segment indexes, records segment ids in object+0xe4+pin*4, draws polylines with MoveToEx/LineTo, records points with FUN_0043ac51, and delegates connection attempts to FUN_00427686 with fallback spacing helpers FUN_00428eb1/FUN_00429288.","High"
"FUN_00427686","Attempts to connect a new wire endpoint to an upstream object's existing routed output path, drawing either a direct orthogonal route or a branch/junction onto an existing route segment.","Called repeatedly from FUN_00426f50 while routing a source pin. For an unconnected upstream object it draws from the source pin to the object's output coordinate, records route points, marks object+0xb8 connected and object+0xe0 with the route segment id. For an already connected object it calls FUN_00428837 to find a usable branch point, draws to that point, calls FUN_004287c6 to draw a junction square, updates the route graph with FUN_0043ae30, and returns 1 on success or 0 when no non-overlapping connection is available.","High"
"FUN_00427c43","Expands constant input references into explicit constant nodes and route segments after normal wire routing, then draws those constant nodes and their short branch wires.","Called by FUN_00424347 after FUN_00426f50 during final diagram generation. It counts unhidden placed gates with constant input references (-1/-2), reallocates the diagram-object array to insert extra objects before normal gates, creates type 10/11 constant objects with value fields, rewrites the original gate's input source to the new constant node, allocates route records, records route points with FUN_0043ac51, draws constants via FUN_00425f03, and redraws associated routes through FUN_004286f7.","High"
